image_id,predicted,actual
476740978_45b65ebe0c,startseq woman in black dress and woman standing in front of large building endseq,startseq group of people are holding up signs endseq
476759700_8911f087f8,startseq woman in red shirt and black pants is walking down the street endseq,startseq man carrying sign that says free hug along the sidewalk endseq
476760133_c33d2bd83d,startseq black dog is running in the grass endseq,startseq black dog is running across the grass carrying something in its mouth endseq
477204750_d04d111cd4,startseq golden retriever is running on the grass endseq,startseq dog is playing fetch with ball endseq
477254932_56b48d775d,startseq the boy is jumping on the pool endseq,startseq girl flipping into swimming pool while others swim endseq
477768471_d7cd618fdb,startseq two dogs are standing on the edge of the edge of the edge of the water endseq,startseq black and white dog is playing with golf ball in the sand endseq
478208896_90e7187b64,startseq hiker is walking on the beach endseq,startseq girl climbs huge rock endseq
478209058_21e2c37c73,startseq two people climbing up snowy mountain endseq,"startseq ""a man in red climbs rock in field of snow cliffs and fallen boulders ."" endseq"
478592803_f57cc9c461,startseq woman in kilt walks on the street endseq,"startseq ""the backs of two asian girls wearing red tops and holding red flags ."" endseq"
47870024_73a4481f7d,startseq man in yellow shirt is riding an orange bike endseq,startseq boy in yellow is riding scooter on the street endseq
47871819_db55ac4699,startseq two men are playing soccer endseq,startseq soccer player in blue is chasing after the player in black and white endseq
478750151_e0adb5030a,startseq two dogs are running in the grass endseq,startseq white dog races brown dog in field of grass endseq
478754346_addb53893c,startseq dirt biker participates in the dirt endseq,startseq dirt bike rider rides off of jump endseq
479807115_3a484fb18b,startseq man in red helmet is riding motorcycle endseq,startseq man riding dirt bike in down hill in competition endseq
479807465_cf42f39d00,startseq man in red helmet rides his motorcycle endseq,startseq fallen dirt biker is aided by another endseq
479807833_85eed6899c,startseq man on motorcycle is riding his motorcycle endseq,startseq dirt biker rides up rocky hill on motorized dirt bike endseq
480200554_6155e9dfeb,startseq woman in red feathered costume is holding trophy endseq,startseq an elderly man wearing sombrero riding mobility scooter while shopping for shoes endseq
480505313_2dc686e5db,startseq woman in yellow shirt and black jacket is standing in front of large fountain endseq,startseq couple is photographed in front of large outdoor fountain endseq
480607352_65614ab348,startseq two women in traditional clothes are walking by the street endseq,startseq man in bright clothing plays an instrument on the street endseq
481054596_cad8c02103,startseq traffic march in the street endseq,startseq couple hugging with other people standing around in front of some buildings endseq
481632457_7372f18275,startseq two dogs are running in field endseq,startseq big tri-colored and smaller puppy with light blue eyes are playing together endseq
481732592_b50194cb89,startseq four children are sitting on the street with pack of paperwork endseq,startseq creepy old man stars at young couple as they smoke cigarette endseq
481827288_a688be7913,startseq dog swimming in the water with stick in its mouth endseq,startseq two brown dog play together in the water endseq
481887827_f8975dabf1,startseq three people sitting on scrubby porch an empty night endseq,startseq group of people sit before campfire endseq
482047956_9a29e9cee6,startseq woman in leather vest and woman smiles ahead of woman 's back endseq,startseq group of girls are riding on roller coaster endseq
482088914_e6ea4501e9,startseq man in wetsuit is riding yellow surfboard endseq,startseq kayaker almost turns over endseq
482098572_e83153b300,startseq man in yellow jacket is kayaking in the water endseq,startseq man in yellow boat paddling against waves endseq
482353373_03a9d5e8bc,startseq woman in red shirt and hat is playing music endseq,startseq girl in petterned shirt is talking to guy with hat in billiards room endseq
482830610_13a0a6c924,startseq woman in black shirt and black pants is sitting on the sidewalk of an outdoor counter endseq,startseq girl reads and listens to music on bus endseq
482882307_7dcb9eee11,startseq man kayaking in rough waters endseq,startseq guy in midair is behind the raft full of people endseq
482882719_165722082d,startseq group of rafters rafting rafting endseq,startseq group of people go rafting endseq
482907079_22085ada04,startseq man is climbing steep obstacle wall endseq,startseq climber scales cliff as others watch endseq
483039719_75181b2726,startseq woman with sunglasses and woman standing in crowd endseq,"startseq ""a teenage boy with white headband looking right crowd in the background ."" endseq"
483136916_16976f4902,startseq dog runs through the grass with his tongue out endseq,startseq beagle looking over his shoulder as he stand on sandy slope endseq
483841513_e660391880,startseq boy is jumping off of slide endseq,startseq girl does handstand on trampoline endseq
484896012_7787d04f41,startseq young boy in red playing soccer ball endseq,startseq boy kicks soccer ball high up endseq
485054073_fef8b80b4b,startseq white dog is running on the ground endseq,startseq frisbee casts shadow on the dog endseq
485245061_5a5de43e20,startseq man in red outfit is skiing on the ice endseq,startseq man crouched on snowy peak endseq
485312202_784508f2a9,startseq two women are standing on wooden beam endseq,startseq man is sitting on bench behind bike endseq
485357535_b45ba5b6da,startseq woman in red hat and red pants is walking on the street endseq,startseq boy in black and white shirt holds red skateboard as he stands over the hollywood stars endseq
485566887_57eac33bd1,startseq two dogs are playing in the grass endseq,startseq one dog biting at another dog 's face in grassy field endseq
485738889_c2a00876a6,startseq swimmer is wearing mask endseq,"startseq ""a baby being held by small girl swimming underwater in blue pool ."" endseq"
485741580_ab523fa657,startseq dog is laying on the back of the large dog endseq,startseq black and tan dog sleeps in the car endseq
485921585_1974b1577a,startseq skateboarder does trick on his skateboard endseq,startseq bicycle stunt person midair performing trick with fans watching endseq
486300784_2cc7a770ff,startseq black dog jumps out of the water endseq,startseq two dogs running in body of water that is light blue with tip of an island of grass showing endseq
486712504_36be449055,startseq dog jumps over an orange ball endseq,startseq dog is jumping across an obstacle endseq
486720042_b785e7f88c,startseq two dogs are running together in the field endseq,startseq black and white spotted dog is circling gray and white dog endseq
486917990_72bd4069af,startseq man in blue shirt is climbing up the side of snowy wall endseq,startseq girl is climbing rock wall endseq
487071033_27e460a1b9,startseq woman in yellow shirt participates in circle endseq,startseq man does skateboard tricks off ramp while others watch endseq
487074671_66db20bf47,startseq man in red shirt and jeans is sitting on the street endseq,startseq man in brown jacket and blue cap is washing black jacket in fountain endseq
487487795_54705c406e,startseq two dogs are running in field endseq,startseq black and brown dog is playing with brown and white dog endseq
487894806_352d9b5e66,startseq dog is jumping over the yellow dog endseq,startseq brown dog wearing collar is chasing and biting on red broom endseq
488089932_c3a5fa4140,startseq two men are skating on street endseq,startseq girl is hula hooping on sidewalk in new york endseq
488196964_49159f11fd,startseq dog walks through the water endseq,"startseq ""a brown dog retrieves ball on green slimy rock covered beach"" endseq"
488352274_9a22064cb3,startseq brown dog is running on the beach endseq,startseq two brown dogs are running on the sand endseq
488356951_b3b77ad832,startseq woman wearing white hat and hat has tattoo of the side of the side of an empty building endseq,startseq man with red shirt and black hat stares at another man endseq
488408004_a1e26d4886,startseq the man is standing on the grass with his hands endseq,startseq child in formal clothing is walking along the edge of stony area that is littered in places endseq
488416045_1c6d903fe0,startseq dog running along the beach endseq,startseq brown dog is running along beach endseq
488549693_a1f51d8c4a,startseq two girls in red uniforms are standing in front of water endseq,startseq two children are standing on the shore next to body of water endseq
488590040_35a3e96c89,startseq two men are standing on the street endseq,startseq men standing on shore with fishing pole and boat in water endseq
489065557_0eb08889cd,startseq man in red bathing suit is walking in the water endseq,startseq boy jumping from rope into the water endseq
489134459_1b3f46fc03,startseq girl in green shirt and green pants is walking on the street endseq,startseq boy and girl stand in front of house endseq
489372715_ce52da796a,startseq dog is running on the beach endseq,startseq brown dog is shaking his head while standing on sand endseq
489551372_b19a6ad0ed,startseq little girl is jumping over fence endseq,startseq dog on an obstacle platform and man endseq
489773343_a8aecf7db3,startseq two dogs are playing in the surf endseq,"startseq ""a small girl in pink and blue on the beach shows something to two black dogs ."" endseq"
489865145_65ea6d1c14,startseq the man is sitting on the cement of brick wall endseq,startseq teenage girl with shaved head walks in brown skirt and blue jean jacket endseq
490044494_d2d546be8d,startseq dog chases black dog endseq,startseq three brown puppies running in the grass endseq
490390951_87395fcb1c,startseq woman is swinging on skateboard endseq,startseq closeup of grey and white shoes on the shore near the beach water endseq
491405109_798222cfd0,startseq young girl in blue shirt and blue shirt is playing in the air endseq,startseq girl poses with her head upside down endseq
491564019_1ca68d16c1,startseq child is sitting on the playground slide endseq,startseq child enjoying themselves on yellow slide at park endseq
491600485_26c52c8816,startseq person is running through tall grass endseq,startseq black dog looks up at ball in the air and prepares to catch it endseq
491964988_414b556228,startseq two people are standing on water looking at the water endseq,startseq little girl runs down path in japanese garden endseq
492341908_1ef53be265,startseq two people are sitting on the street endseq,startseq two girls are riding wheeler endseq
492493570_c27237a396,startseq young girl in pink bathing suit is running on the beach endseq,startseq girl chases bird across the sand at the edge of the ocean endseq
492802403_ba5246cfea,startseq man is standing on the lawn with brown dog in its mouth endseq,startseq one dog jumps up to catch ball as another dog runs towards it endseq
493109089_468e105233,startseq boy in red shirt and blue shirt is jumping off ride ride endseq,startseq little boy in red jacket plays on jungle gym endseq
493507605_48fe8e3739,startseq black dog is running in the grass endseq,startseq black dog is chasing another black dog endseq
493542985_c85ad29ebe,startseq woman in red shirt is jumping off of water endseq,startseq girl is rowing in lake endseq
493621130_152bdd4e91,startseq the white dog is running on the beach endseq,startseq brown dog leaps into the water endseq
494221578_027f51cdf4,startseq child in red jacket is sitting on red slide endseq,startseq girl in pink jacket is going headfirst down red slide endseq
494329594_6e751372a0,startseq two girls are sitting on bench endseq,startseq black woman in pink bikini is sitting on towel on lounge chair endseq
494792770_2c5f767ac0,startseq dog is running on the grass endseq,startseq brown dog walks in the under brush endseq
494907021_321e82877a,startseq two women in camouflage dresses are walking past poorly outside endseq,startseq group of children playing with props endseq
494921598_af73bda568,startseq hockey player keeps the ice endseq,startseq child is playing ice hockey endseq
495014499_8fd065cfd9,startseq police officer is walking on the street endseq,startseq man holding flag is standing on busy sidewalk endseq
495033548_bd320405d8,startseq man in blue shirt playing soccer endseq,startseq men participate in soccer game endseq
495054019_3dee8a02f5,startseq man in white and white shorts and white shorts is about to hit ball endseq,startseq white haired coach is coaching his team of young men while they run towards him endseq
495055747_a75872762a,startseq woman in yellow shirt and black skirt walks down the street endseq,startseq an elderly woman crosses the road in city endseq
495116214_f1df479fb0,startseq two dogs are running around sandy beach endseq,startseq two black and white dogs on the sandy beach fighting over long stick endseq
495340319_705f2e63d6,startseq man in red and white uniform is playing softball endseq,startseq boys playing tag football run down the field endseq
495341977_b27279f962,startseq two dogs are playing in the grass endseq,startseq two brown dogs are biting on black frisbee endseq
49553964_cee950f3ba,startseq surfer in red kayak is splashing in the water endseq,startseq man holding onto ropes while boogie boarding endseq
496110746_a93ca191ae,startseq young girl in pink shirt and pink shirt is playing in the air endseq,startseq child swings on swing endseq
496129405_b9feeda1ab,startseq two dogs are playing on the lawn endseq,startseq the three dogs are playing with each other endseq
496380034_d22aeeedb3,startseq two dogs are running in field endseq,startseq black and white dog are both going for blue soccer ball endseq
496555371_3e1ee0d97d,startseq two dogs are running together together on the beach endseq,startseq black dog is being chase by two brown dogs on the beach endseq
496606439_9333831e73,startseq woman with woman in black shirt and hat posing for picture endseq,startseq woman smile and wave to the camera endseq
496971341_22782195f0,startseq black and white dog is running in the grass endseq,startseq black dog and black dog are fighting over soccer ball endseq
497122685_a51b29dc46,startseq young boy flips his hair underwater endseq,startseq girl in colourful bathing suit being ejected from water slide into the pool endseq
497579819_f91b26f7d3,startseq dog runs through the water endseq,startseq dog looks out over green grass and flowers endseq
497791037_93499238d8,startseq two children are standing on playground endseq,startseq boy jumping off swing endseq
498404951_527adba7b8,startseq golden retriever is standing on the rocks endseq,startseq blonde puppy wearing red collar is standing in the water endseq
498444334_a680d318a1,startseq three men are sitting on bench endseq,startseq group of young men clowning around while enjoying beverage endseq
498492764_fe276e505a,startseq man in red shirt and helmet is pulling his head off of the snow endseq,startseq man in gray suit locking up bicycle endseq
498748832_941faaaf40,startseq little boy in blue dress and blue striped shirt is playing with blue toy endseq,startseq girl with black bag in cramped position on train endseq
498794783_cc2ac62b47,startseq little girl in blue dress is blowing bubbles endseq,startseq girl in dress is blowing bubbles with another girl behind her endseq
498957941_f0eda42787,startseq young boy is about to throw ball endseq,startseq boy in blue shirt is running endseq
50030244_02cd4de372,startseq white dog is running in the grass endseq,startseq cat sits alone in dry grass endseq
500308355_f0c19067c0,startseq white dog is sitting on the grass with white dog endseq,startseq lady in yard holding dog while another dog is jumping endseq
500446858_125702b296,startseq two dogs are playing in the street endseq,startseq small white dog is running through the dirt right on the outside of patch of grass where two people and another small black dog are playing endseq
500678178_26ce0f4417,startseq girl in pink shirt and jeans is climbing endseq,startseq child lies in the hay with only head and arm showing endseq
501320769_31eea7b7ea,startseq the boy is wearing spiderman shirt and blue jeans endseq,startseq child in white bathrobe is standing in doorway endseq
501520507_c86f805ab8,startseq woman in white shirt is holding paper bag in front of store endseq,startseq woman looking at jewlery at booth at an outdoor fair endseq
501650847_b0beba926c,startseq two dogs are playing in the grass endseq,startseq brown dog starring at soccer ball endseq
501684722_0f20c4e704,startseq woman in white dress is holding her hands in the air endseq,startseq girl kisses another little girl while the third is falling out of frame endseq
501699433_f8df386cf9,startseq swimmer is wearing blue life jacket endseq,startseq man and child underwater in swimming pool holding their breath endseq
